Target,luminex_name,draw,n,r_spearman
BAFF,BAFF,Venous,12,0.31468531468531474
BAFF,BAFF,Arterial,12,0.1048951048951049
BLC,BLC(CXCL13),Venous,12,-0.16083916083916086
BLC,BLC(CXCL13),Arterial,12,-0.02097902097902098
CD30,CD30,Venous,12,-0.2867132867132867
CD30,CD30,Arterial,12,0.49650349650349657
"CD40 ligand, soluble",CD40L,Venous,12,0.5874125874125875
"CD40 ligand, soluble",CD40L,Arterial,12,0.5874125874125875
CSF-1,M-CSF,Venous,12,-0.18629432924381775
CSF-1,M-CSF,Arterial,12,0.2802105873353385
ENA-78,ENA-78(CXCL5),Venous,12,-0.1118881118881119
ENA-78,ENA-78(CXCL5),Arterial,12,0.5384615384615385
Eotaxin,EOTAXIN(CCL11),Venous,12,0.013986013986013988
Eotaxin,EOTAXIN(CCL11),Arterial,12,-0.1118881118881119
Eotaxin-2,EOTAXIN-2(CCL24),Venous,12,-0.2237762237762238
Eotaxin-2,EOTAXIN-2(CCL24),Arterial,12,0.06993006993006994
Eotaxin-3,EOTAXIN-3(CCL26),Venous,12,-0.2237762237762238
Eotaxin-3,EOTAXIN-3(CCL26),Arterial,12,0.19580419580419584
Fractalkine/CX3CL-1,Fractalkine(CX3CL1),Venous,12,-0.03502632341691731
Fractalkine/CX3CL-1,Fractalkine(CX3CL1),Arterial,12,-0.5524475524475525
G-CSF,G-CSF(CSF-3),Venous,12,-0.17482517482517487
G-CSF,G-CSF(CSF-3),Arterial,12,-0.24475524475524477
GM-CSF,GM-CSF,Venous,12,0.8531468531468533
GM-CSF,GM-CSF,Arterial,12,-0.027972027972027975
Gro-a,GROa(CXCL1),Venous,12,0.021015794050150388
Gro-a,GROa(CXCL1),Arterial,12,0.5499132776456018
HGF,HGF,Venous,12,0.8391608391608392
HGF,HGF,Arterial,12,0.4195804195804196
I-TAC,I-TAC(CXCL11),Venous,12,0.7810870121972561
I-TAC,I-TAC(CXCL11),Arterial,12,0.15384615384615385
IFN-g,IFNg,Venous,12,0.27972027972027974
IFN-g,IFNg,Arterial,12,0.1576184553761279
IFNA1,IFNa,Venous,12,0.1328671328671329
IFNA1,IFNa,Arterial,12,0.27972027972027974
IL-10,IL-10,Venous,12,-0.3356643356643357
IL-10,IL-10,Arterial,12,-0.32574480777733106
IL-13,IL-13,Venous,12,-0.3187395430939476
IL-13,IL-13,Arterial,12,-0.1716289847428948
IL-15,IL-15,Venous,12,-0.1118881118881119
IL-15,IL-15,Arterial,12,-0.37762237762237766
IL-16,IL-16,Venous,12,0.34265734265734266
IL-16,IL-16,Arterial,12,0.18181818181818185
IL-17,IL-17A(CTLA-8),Venous,12,0.07692307692307693
IL-17,IL-17A(CTLA-8),Arterial,12,-0.2907184843604137
IL-18,IL-18,Venous,12,0.5314685314685316
IL-18,IL-18,Arterial,12,-0.027972027972027975
IL-1a,IL-1a,Venous,12,-0.37762237762237766
IL-1a,IL-1a,Arterial,12,0.08391608391608392
IL-1b,IL-1b,Venous,12,0.29370629370629375
IL-1b,IL-1b,Arterial,12,-0.23817899923503771
IL-2,IL-2,Venous,12,-0.6153846153846154
IL-2,IL-2,Arterial,12,0.006993006993006994
IL-20,IL-20,Venous,12,0.19580419580419584
IL-20,IL-20,Arterial,12,-0.18181818181818185
IL-21,IL-21,Venous,12,0.02097902097902098
IL-21,IL-21,Arterial,12,0.2031526758181204
IL-22,IL-22,Venous,12,-0.4105288429061648
IL-22,IL-22,Arterial,12,-0.6923076923076924
IL-31,IL-31,Venous,12,-0.4195804195804196
IL-31,IL-31,Arterial,12,-0.14360792600936098
IL-4,IL-4,Venous,12,-0.15384615384615385
IL-4,IL-4,Arterial,12,0.273205322651955
IL-5,IL-5,Venous,12,-0.16083916083916086
IL-5,IL-5,Arterial,12,-0.3432579694857896
IL-6,IL-6,Venous,12,-0.29772374904379717
IL-6,IL-6,Arterial,12,0
IL-7,IL-7,Venous,12,-0.39860139860139865
IL-7,IL-7,Arterial,12,0.24168163157672945
IL-8,IL-8(CXCL8),Venous,12,-0.027972027972027975
IL-8,IL-8(CXCL8),Arterial,12,-0.04895104895104896
IL-9,IL-9,Venous,12,-0.54641064530391
IL-9,IL-9,Arterial,12,-0.19580419580419584
IP-10,IP-10(CXCL10),Venous,12,0.6293706293706295
IP-10,IP-10(CXCL10),Arterial,12,0.4055944055944056
LIF,LIF,Venous,12,0.04553422044199251
LIF,LIF,Arterial,12,0.27670795499364675
MCP-1,MCP-1(CCL2),Venous,12,0.7692307692307694
MCP-1,MCP-1(CCL2),Arterial,12,0.34265734265734266
MCP-2,MCP-2(CCL8),Venous,12,0.6713286713286714
MCP-2,MCP-2(CCL8),Arterial,12,0.4265734265734267
MCP-3,MCP-3(CCL7),Venous,12,-0.3187395430939476
MCP-3,MCP-3(CCL7),Arterial,12,0.2657342657342658
MDC,MDC,Venous,12,0.6433566433566434
MDC,MDC,Arterial,12,0.2307692307692308
MIF,MIF,Venous,12,0.49650349650349657
MIF,MIF,Arterial,12,0.5034965034965035
MIG,MIG(CXCL9),Venous,12,0.007005264683383463
MIG,MIG(CXCL9),Arterial,12,0.4475524475524476
MIP-1a,MIP-1a(CCL3),Venous,12,0.1048951048951049
MIP-1a,MIP-1a(CCL3),Arterial,12,-0.5104895104895106
MIP-3a,MIP-3a(CCL20),Venous,12,-0.1118881118881119
MIP-3a,MIP-3a(CCL20),Arterial,12,0.40280271929454914
MMP-1,MMP-1,Venous,12,0.5734265734265734
MMP-1,MMP-1,Arterial,12,0.02097902097902098
SCF,SCF,Venous,12,0.4125874125874126
SCF,SCF,Arterial,12,0.7622377622377623
SDF-1,SDF-1a,Venous,12,0.06993006993006994
SDF-1,SDF-1a,Arterial,12,-0.24475524475524477
TNF sR-II,TNF-RII,Venous,12,0.6013986013986015
TNF sR-II,TNF-RII,Arterial,12,0.06993006993006994
TNF-a,TNFa,Venous,12,-0.21366057284319562
TNF-a,TNFa,Arterial,12,0.11579018646071315
TNF-b,TNFb,Venous,12,-0.22416846986827083
TNF-b,TNFb,Arterial,12,0.19264477879304523
TRAIL,TRAIL,Venous,12,0.02097902097902098
TRAIL,TRAIL,Arterial,12,0.7320501594135719
TSLP,TSLP,Venous,12,-0.08391608391608392
TSLP,TSLP,Arterial,12,-0.13986013986013987
TWEAK,TWEAK,Venous,12,0.09090909090909093
TWEAK,TWEAK,Arterial,12,0.006993006993006994
VEGF,VEGF-A,Venous,12,0.3566433566433567
VEGF,VEGF-A,Arterial,12,-0.45454545454545464
b-NGF,NGFb,Venous,12,0.2377622377622378
b-NGF,NGFb,Arterial,12,-0.4055944055944056
bFGF,FGF-2,Venous,12,0.24210675350876387
bFGF,FGF-2,Arterial,12,-0.1891421464513535
